Item,correlacao_temperatura,correlacao_chuva,correlacao_pesticidas
Cassava,0.024459793959523142,0.09202503585376708,0.12440965948866754
Maize,-0.429477150330088,-0.24325449138274144,0.08747460007768419
Plantains and others,-0.1794163164813555,0.07242813628201109,0.06135469702287839
Potatoes,-0.4270717254549333,-0.14826921126202774,0.07664568713476634
"Rice, paddy",-0.39057508179301775,-0.17736988671436552,0.24442455108344108
Sorghum,-0.3864858608744054,-0.06233765656058889,0.1498206393900045
Soybeans,-0.34311833239437284,-0.14983794906212794,0.12778208235205954
Sweet potatoes,-0.39065404803873494,-0.2738915705739737,0.20759047322103055
Wheat,-0.4027975185633419,-0.02743674374376679,0.07293025127767445
Yams,-0.2792426286227908,0.05599824656558431,0.15044556097109
