Item,Area,registros,produtividade_mediana,produtividade_media,produtividade_minima,produtividade_maxima
Cassava,Barbados,56,239047.5,228195.19642857142,164286,318846
Cassava,Cook Islands,56,233871.0,223952.4107142857,95012,363148
Cassava,India,56,197827.0,213874.7142857143,71134,385818
Cassava,French Polynesia,56,177513.0,175577.5,154062,186364
Cassava,"China, Taiwan Province of",56,158243.0,172123.76785714287,121402,252737
Cassava,Solomon Islands,56,151771.5,136008.0,79245,170588
Cassava,Thailand,56,151156.5,163786.94642857142,121277,229223
Cassava,Mauritius,56,150000.0,150101.0357142857,69545,250000
Cassava,China,56,149598.0,144331.85714285713,114050,164801
Cassava,"China, mainland",56,149556.0,142901.3392857143,111111,164602
Cassava,Paraguay,56,147479.0,147647.8392857143,98000,179739
Cassava,Belize,28,140468.0,131105.9642857143,74648,172105
Cassava,Lao People's Democratic Republic,56,137377.5,145297.14285714287,40994,326822
Cassava,Brazil,56,133608.5,132003.625,105996,152445
Cassava,Mexico,56,132740.0,139581.14285714287,74079,200000
Cassava,Samoa,56,124921.5,135528.0,100000,187500
Cassava,El Salvador,56,124818.5,125354.05357142857,76923,201298
Cassava,Jamaica,56,121269.0,140222.625,73849,208699
Cassava,Suriname,56,117747.0,134277.23214285713,29940,298608
Cassava,Brunei Darussalam,56,117647.0,108504.67857142857,51489,176374
Cassava,Cabo Verde,56,117593.0,108901.66071428571,47000,152571
Cassava,Indonesia,56,117036.5,123071.07142857143,70516,239133
Cassava,Guadeloupe,56,112404.0,117554.375,80000,158093
Cassava,Peru,56,111782.5,114419.625,93413,147235
Cassava,Guyana,29,110214.0,111034.96551724138,95857,125357
Cassava,Singapore,53,110000.0,87616.7358490566,26382,210000
Cassava,Fiji,56,109721.5,119094.08928571429,31099,190000
Cassava,Tonga,56,108783.5,110041.67857142857,50222,197625
Cassava,Malaysia,56,107785.5,127967.91071428571,87500,275589
Cassava,Myanmar,56,107660.0,111065.80357142857,87354,161422
Cassava,Cameroon,56,106163.5,99321.03571428571,52991,164386
Cassava,Micronesia (Federated States of),22,106155.0,106175.27272727272,100000,112500
Cassava,Bahamas,56,105882.0,120216.89285714286,75000,236821
Cassava,Guinea-Bissau,33,105324.0,122789.36363636363,80000,166629
Cassava,Papua New Guinea,56,102785.0,102668.48214285714,97871,109091
Cassava,Bolivia (Plurinational State of),56,102587.5,105995.125,67851,143406
Cassava,Nigeria,56,100926.0,101949.76785714286,70323,122155
Cassava,Argentina,56,100000.0,103245.41071428571,84651,150175
Cassava,Rwanda,56,100000.0,89574.23214285714,11778,172009
Cassava,Réunion,56,100000.0,102007.625,47444,227273
Cassava,Sao Tome and Principe,56,100000.0,93232.35714285714,36327,120000
Cassava,Somalia,56,100000.0,101889.23214285714,88235,114000
Cassava,Wallis and Futuna Islands,56,100000.0,97743.53571428571,62344,135833
Cassava,Dominica,56,99740.5,96789.53571428571,78526,112133
Cassava,Venezuela (Bolivarian Republic of),56,98768.5,100843.46428571429,67446,136649
Cassava,Cambodia,56,97297.0,119902.75,21250,263302
Cassava,Pacific Islands Trust Territory,30,91909.0,95284.56666666667,85561,111111
Cassava,Niger,56,91863.5,117865.19642857143,50312,235354
Cassava,Colombia,56,90957.5,88980.17857142857,56000,110801
Cassava,Ghana,56,90666.5,105428.21428571429,66667,200239
Cassava,Burundi,56,89950.0,84524.14285714286,39948,92909
Cassava,Trinidad and Tobago,56,89582.5,79223.375,18561,228000
Cassava,Sri Lanka,56,88860.0,88051.33928571429,38748,136650
Cassava,Nicaragua,56,88454.0,82785.46428571429,39216,123077
Cassava,Panama,56,86166.0,100190.01785714286,49611,194023
Cassava,Viet Nam,56,85232.5,104017.48214285714,70455,190468
Cassava,Philippines,56,84018.5,82280.23214285714,51301,125130
Cassava,Kenya,56,81319.5,91703.5,50000,142470
Cassava,Democratic Republic of the Congo,56,80009.5,75550.55357142857,64776,81483
Cassava,Benin,56,78454.0,88070.53571428571,37838,173771
Cassava,French Guiana,56,76363.5,79950.55357142857,50005,168788
Cassava,Grenada,56,75122.5,74452.25,54894,90909
Cassava,Mali,56,75000.0,97922.32142857143,66667,180749
Cassava,Puerto Rico,56,73900.0,67931.125,15017,157800
Cassava,Costa Rica,56,72988.0,87853.76785714286,33938,224490
Cassava,Congo,56,71610.0,73348.60714285714,46100,105225
Cassava,New Caledonia,56,71250.0,58033.857142857145,11024,86667
Cassava,Guinea,56,70135.0,72392.16071428571,67143,84900
Cassava,Togo,56,68714.5,96403.39285714286,33751,203500
Cassava,Saint Vincent and the Grenadines,56,68256.0,87192.17857142857,51724,126667
Cassava,Uganda,56,67001.5,71950.42857142857,30515,144083
Cassava,Madagascar,56,66517.5,66698.33928571429,55178,80358
Cassava,United Republic of Tanzania,56,65794.5,77548.25,45737,132021
Cassava,Liberia,56,64076.0,64916.892857142855,50421,85665
Cassava,Malawi,56,62772.5,92665.78571428571,20140,228041
Cassava,Seychelles,56,62516.5,88504.51785714286,50000,133262
Cassava,Zambia,56,61835.0,60437.53571428572,49409,63182
Cassava,Honduras,56,61445.0,59802.892857142855,26131,95140
Cassava,Dominican Republic,56,60083.0,59674.46428571428,30182,84606
Cassava,Ecuador,56,58814.5,65852.05357142857,25112,118966
Cassava,American Samoa,56,58321.5,65465.357142857145,30000,136667
Cassava,Côte d'Ivoire,56,54641.0,53655.357142857145,22026,80485
Cassava,Sierra Leone,56,51270.0,57929.67857142857,27610,158800
Cassava,Comoros,56,51220.0,51651.57142857143,40000,62857
Cassava,Niue,56,50443.0,52860.375,29565,100000
Cassava,Gabon,56,50000.0,50130.875,45814,53747
Cassava,Chad,56,44888.0,53082.357142857145,30222,132047
Cassava,Antigua and Barbuda,56,44837.5,42235.33928571428,22000,57500
Cassava,Cuba,56,41475.5,44902.125,25974,92600
Cassava,Haiti,56,41435.0,41998.482142857145,37500,45000
Cassava,Mozambique,56,41180.5,48181.267857142855,33284,107501
Cassava,Senegal,56,40484.5,47629.625,21496,109161
