Item,produtividade_1961,produtividade_2016,variacao_absoluta,crescimento_percentual
Cassava,75707.0,100133.5,24426.5,32.264519793414095
Maize,10938.0,36745.0,25807.0,235.93892850612542
Plantains and others,60000.0,101250.0,41250.0,68.75
Potatoes,86158.5,185509.0,99350.5,115.31131577267479
"Rice, paddy",17483.0,36831.5,19348.5,110.67036549791224
Sorghum,9168.0,15146.0,5978.0,65.20506108202444
Soybeans,6982.0,15901.0,8919.0,127.74276711543968
Sweet potatoes,66496.5,91446.0,24949.5,37.52001985066884
Wheat,10692.0,30475.0,19783.0,185.02618780396557
Yams,75431.0,81097.0,5666.0,7.51150057668597
