Year,Item,registros,paises,produtividade_mediana,produtividade_media,produtividade_minima,produtividade_maxima
1961,Cassava,99,99,75707.0,82364.898989899,23083,300667
1962,Cassava,99,99,76786.0,83756.88888888889,26667,318846
1963,Cassava,99,99,76667.0,83122.50505050505,22381,296071
1964,Cassava,99,99,80000.0,84791.30303030302,18658,306087
1965,Cassava,99,99,79920.0,84926.26262626263,22026,304348
1966,Cassava,100,100,75961.5,84816.14,24508,280000
1967,Cassava,100,100,79326.5,84870.85,20838,280000
1968,Cassava,100,100,77698.0,84321.42,26500,300000
1969,Cassava,101,101,75455.0,84369.33663366336,20000,266667
1970,Cassava,101,101,79688.0,86016.52475247525,26373,266667
1971,Cassava,101,101,79594.0,86255.30693069307,26667,268630
1972,Cassava,101,101,78202.0,87644.27722772278,13468,363148
1973,Cassava,101,101,78286.0,87254.88118811882,26429,263636
1974,Cassava,101,101,75000.0,86281.85148514851,22500,280000
1975,Cassava,101,101,80000.0,86892.50495049504,25333,257143
1976,Cassava,101,101,79113.0,86420.18811881189,24615,252778
1977,Cassava,101,101,78060.0,85197.17821782178,22000,252778
1978,Cassava,101,101,80000.0,85928.43564356436,23846,233871
1979,Cassava,101,101,81818.0,86742.88118811882,23846,248649
1980,Cassava,101,101,82927.0,87167.92079207921,10000,244737
1981,Cassava,101,101,87059.0,87661.9603960396,25385,250000
1982,Cassava,101,101,80000.0,86438.60396039604,25000,243590
1983,Cassava,101,101,86875.0,86791.12871287129,24210,240000
1984,Cassava,102,102,83026.0,86674.54901960785,25000,240000
1985,Cassava,101,101,87755.0,88002.25742574257,21250,240000
1986,Cassava,101,101,80220.0,87282.74257425743,22857,240000
1987,Cassava,101,101,85000.0,88106.64356435643,22857,240000
1988,Cassava,102,102,87747.0,88731.0294117647,18352,238095
1989,Cassava,103,103,86663.0,89122.71844660194,15000,210000
1990,Cassava,103,103,84170.0,89004.82524271845,15000,320000
1991,Cassava,102,102,86991.0,90149.54901960785,17466,304000
1992,Cassava,102,102,88740.0,90896.53921568628,17644,332500
1993,Cassava,103,103,85068.0,90848.2427184466,15017,277200
1994,Cassava,103,103,84406.0,90592.6213592233,11778,245277
1995,Cassava,104,104,82903.0,89594.22115384616,20000,252775
1996,Cassava,104,104,86480.5,90502.11538461539,19000,238528
1997,Cassava,103,103,92083.0,90731.82524271845,18846,221117
1998,Cassava,103,103,88000.0,89943.90291262136,18000,252815
1999,Cassava,104,104,91832.0,94321.11538461539,17143,239523
2000,Cassava,104,104,95586.5,95619.22115384616,17391,269087
2001,Cassava,104,104,94534.5,97947.99038461539,14288,266998
2002,Cassava,104,104,94525.0,97789.42307692308,13713,272746
2003,Cassava,104,104,97040.0,99039.95192307692,15479,262135
2004,Cassava,104,104,95684.5,102789.64423076923,14833,317000
2005,Cassava,104,104,99219.0,100120.19230769231,14333,304978
2006,Cassava,103,103,100000.0,103013.76699029126,13834,321132
2007,Cassava,104,104,96930.0,102552.72115384616,11024,322204
2008,Cassava,104,104,100000.0,104316.46153846153,12834,335407
2009,Cassava,104,104,103131.5,106303.27884615384,12531,343433
2010,Cassava,104,104,99434.5,106393.49038461539,12511,347555
2011,Cassava,104,104,101034.5,108381.94230769231,12491,364770
2012,Cassava,104,104,100781.0,110224.92307692308,12470,385818
2013,Cassava,104,104,99546.0,111770.32692307692,12450,349594
2014,Cassava,104,104,99101.5,111794.22115384616,12430,356555
2015,Cassava,104,104,100739.0,112634.44230769231,12410,315706
2016,Cassava,104,104,100133.5,113232.875,11313,326822
1961,Maize,143,143,10938.0,14626.58041958042,1787,50000
1962,Maize,143,143,11118.0,15051.734265734265,1193,94186
1963,Maize,143,143,11125.0,15393.048951048951,1374,70000
1964,Maize,143,143,11150.0,15646.62937062937,1139,79167
1965,Maize,143,143,11250.0,15887.818181818182,1025,79167
1966,Maize,144,144,11310.0,16509.631944444445,1359,74000
1967,Maize,144,144,11985.5,17039.868055555555,1121,73333
1968,Maize,144,144,11890.5,17191.083333333332,1399,85000
1969,Maize,144,144,11989.5,17547.354166666668,1562,71670
1970,Maize,145,145,12296.0,17476.951724137933,693,72474
1971,Maize,145,145,12641.0,18694.827586206895,1530,84442
1972,Maize,146,146,12565.5,17961.890410958906,1917,78499
1973,Maize,146,146,12629.0,19097.95890410959,2380,91388
1974,Maize,146,146,13946.0,18951.54794520548,3143,70553
1975,Maize,146,146,12942.5,19574.712328767124,3125,76661
1976,Maize,146,146,13642.0,19238.527397260274,4200,70873
1977,Maize,146,146,13518.5,20303.013698630137,3300,73746
1978,Maize,145,145,13804.0,20368.71724137931,3111,71429
1979,Maize,145,145,13996.0,20717.44827586207,1066,80315
1980,Maize,143,143,13893.0,20892.594405594406,2495,80758
1981,Maize,143,143,14543.0,22368.202797202797,2486,110000
1982,Maize,143,143,14892.0,22621.895104895106,4023,90705
1983,Maize,143,143,14000.0,21845.69230769231,3857,91563
1984,Maize,143,143,15116.0,22852.412587412586,1485,93593
1985,Maize,143,143,15788.0,25264.594405594406,1816,180996
