Item,Area,registros,produtividade_mediana,produtividade_media,produtividade_minima,produtividade_maxima,posicao
Cassava,Barbados,56,239047.5,228195.19642857142,164286,318846,Top 3
Cassava,Cook Islands,56,233871.0,223952.4107142857,95012,363148,Top 3
Cassava,India,56,197827.0,213874.7142857143,71134,385818,Top 3
Maize,United Arab Emirates,26,209832.5,221585.3076923077,121122,367619,Top 3
Maize,Kuwait,45,150156.0,140004.44444444444,30000,311478,Top 3
Maize,Qatar,28,125294.5,135435.82142857142,118571,207556,Top 3
Plantains and others,Belize,28,219709.5,273483.5,92168,554855,Top 3
Plantains and others,Suriname,56,201172.5,185971.0,60000,341816,Top 3
Plantains and others,Martinique,56,200000.0,179898.5,60000,212145,Top 3
Potatoes,Netherlands,56,410397.0,394924.08928571426,258898,463376,Top 3
Potatoes,Belgium-Luxembourg,39,387852.0,380169.1538461539,223686,522291,Top 3
Potatoes,Switzerland,56,368980.5,362685.85714285716,230000,487219,Top 3
"Rice, paddy",Australia,56,74124.5,76240.71428571429,51216,106827,Top 3
"Rice, paddy",Greece,56,64648.5,62119.232142857145,36316,84659,Top 3
"Rice, paddy",Puerto Rico,45,63636.0,48889.666666666664,13536,99413,Top 3
Sorghum,Jordan,42,75895.0,91800.47619047618,1064,252468,Top 3
Sorghum,Italy,56,53443.5,50638.42857142857,27758,71576,Top 3
Sorghum,Israel,56,49783.5,46680.19642857143,17754,80000,Top 3
Soybeans,Italy,56,31329.0,29693.375,17824,40072,Top 3
Soybeans,Egypt,45,27922.0,26955.422222222223,9494,36186,Top 3
Soybeans,Guatemala,35,26429.0,24880.0,10000,31768,Top 3
Sweet potatoes,Israel,56,307692.0,302323.1785714286,70586,396250,Top 3
Sweet potatoes,Occupied Palestinian Territory,22,272803.0,270691.63636363635,20000,345000,Top 3
Sweet potatoes,Cook Islands,56,256439.0,245230.375,133663,307273,Top 3
Wheat,Netherlands,56,76252.5,69613.44642857143,39251,92919,Top 3
Wheat,Ireland,56,73926.5,67360.92857142857,31304,106677,Top 3
Wheat,United Kingdom,56,67781.5,63074.46428571428,35372,89760,Top 3
Yams,Japan,56,194619.5,195922.76785714287,157998,233257,Top 3
Yams,Papua New Guinea,56,170820.5,169684.35714285713,161111,178455,Top 3
Yams,Jamaica,56,146059.0,141378.67857142858,107892,171042,Top 3
Cassava,Sudan (former),51,22857.0,24035.745098039217,15000,38286,Bottom 3
Cassava,Martinique,48,26000.0,69954.6875,23000,200000,Bottom 3
Cassava,Equatorial Guinea,56,26667.0,27410.071428571428,23846,33333,Bottom 3
Maize,Botswana,56,2610.5,3412.7321428571427,693,10842,Bottom 3
Maize,Cabo Verde,56,3468.5,3773.5535714285716,343,11620,Bottom 3
Maize,Vanuatu,56,5077.0,5182.107142857143,4655,6333,Bottom 3
Plantains and others,Micronesia (Federated States of),22,5945.0,5761.727272727273,4828,6364,Bottom 3
Plantains and others,Pacific Islands Trust Territory,30,6667.0,7110.733333333334,6000,22405,Bottom 3
Plantains and others,New Caledonia,56,20079.0,25159.26785714286,286,50000,Bottom 3
Potatoes,Central African Republic,56,20000.0,19799.14285714286,8052,26667,Bottom 3
Potatoes,Eswatini,56,20093.0,21350.964285714286,15898,32076,Bottom 3
Potatoes,Burkina Faso,34,21616.5,36542.35294117647,15852,69947,Bottom 3
"Rice, paddy",Democratic Republic of the Congo,56,7631.5,7705.678571428572,4789,8752,Bottom 3
"Rice, paddy",Congo,56,8071.5,9577.142857142857,5789,23333,Bottom 3
"Rice, paddy",Mozambique,56,8802.0,9085.42857142857,2034,16154,Bottom 3
Sorghum,Namibia,56,2158.5,2423.2678571428573,973,4255,Bottom 3
Sorghum,Eritrea,24,2788.5,4137.0,1124,11420,Bottom 3
Sorghum,Botswana,56,3321.5,4439.714285714285,583,18316,Bottom 3
Soybeans,Tajikistan,24,441.5,1177.2083333333333,50,4000,Bottom 3
Soybeans,Nigeria,56,3505.5,5279.375,2100,12951,Bottom 3
Soybeans,Liberia,56,3970.5,3789.0714285714284,3143,4342,Bottom 3
Sweet potatoes,Maldives,56,2333.0,4724.178571428572,2000,16552,Bottom 3
Sweet potatoes,Mauritania,56,10000.0,9136.464285714286,3500,14000,Bottom 3
Sweet potatoes,Ghana,21,14765.0,15603.619047619048,13593,18685,Bottom 3
Wheat,Somalia,32,3720.0,3771.125,3611,4000,Bottom 3
Wheat,Venezuela (Bolivarian Republic of),56,4878.5,12639.964285714286,3312,30137,Bottom 3
Wheat,Honduras,56,5933.0,6654.071428571428,4750,10000,Bottom 3
Yams,Niue,56,17786.5,37164.21428571428,7199,110000,Bottom 3
Yams,Fiji,56,20445.5,46879.375,5283,171988,Bottom 3
Yams,Grenada,56,23731.0,23082.14285714286,15294,25789,Bottom 3
